Battle on Board Gacha,2022-10-14
Heart Labyrinth Gacha,2022-10-14
Increases MDEF!"Sorcerer Student Council Gacha" Is Here!,2022-10-14
Step-up style "Sorcerer Student Council Gacha" starts!,2022-10-14
Nightmare Gacha,2022-10-13
Get Powerful Hi Cores! Hi Core Pack now available!,2022-10-13
Halloween Accessory Gacha,2022-10-13
Increased ATK! "Royal Knight Gacha" Is Here!,2022-10-13
【Screenshot Contest Results!】September Screenshot Contest Starts!,2022-10-13
New Event "Frozen Halloween～Part 1～" Starts!,2022-10-12
Powerful Gear! "Ability Avatar GachaⅢ" Arrives!,2022-10-12
Mounts with Sp Effects against Bosses! Couple Driving -Gain- Ⅲ Gacha,2022-10-12
Mounts with Sp Effects against Bosses! Couple Driving -Gain- Ⅳ Gacha,2022-10-12
Sp.Effect WeaponⅢ Gacha is here!,2022-10-12
Sp.Effect WeaponⅣ Gacha is here!,2022-10-12
2 "Area Boss Packs" Now Available!,2022-10-12
Earth Weapon Gacha,2022-10-12
City Police Gacha Tix,2022-10-12
Event Preview! "Frozen Halloween ～Part 1～",2022-10-11
Cat Pajama Gacha,2022-10-11
Wedding Kitty Gacha,2022-10-11
Harvest Festa Gacha,2022-10-11
Increases MATK!"Suzu Yokai Gacha" Is Here!,2022-10-11
About Connection Failure（Windows）,2022-10-11
Includes an Armor Set!"Good Fashion Gacha SP",2022-10-10
【C Dragon Flute Confirmed!】"Couple Drive Fes" Starts!,2022-10-10
"Dowsing Support Pack" is here!,2022-10-10
SP Limit Break Pack Now Available!,2022-10-09
Demons of the Underworld Gacha,2022-10-09
Increased Elemental Attack! "Rose Masquerade Gacha" Arrives!,2022-10-09
Sacred Knights Gacha,2022-10-09
Including Lv 100 Gear! "Build Up Pack" Now Available!,2022-10-08
Get Lv 140 UR Set!! "Grand Avatar Set Gacha" Now Available!,2022-10-08
"D Burst Gacha" now available!,2022-10-08
"Hard Metal Fanatic Gacha",2022-10-07
Alchemia Designers Ⅴ(Female) Gacha,2022-10-07
9 types of Pickup Weapon Gacha now available!,2022-10-07
Mischievous Ghosts Gacha,2022-10-06
High Core Lv 9 Added!!"New Grande Gacha",2022-10-06
Event "Spirit Wars (Water Spirit)" Starts!,2022-10-05
Increased Damage Limit! "Mechanic Tiger Gacha",2022-10-05
Halloween Gacha is Here!,2022-10-05
Mamono Plushie Gacha,2022-10-05
Limited Luxury Potato Sale & Potato Sale campaign released!,2022-10-05
Expansion items are now on time-sale!,2022-10-05
Adoramus Priest Gacha,2022-10-04
Sacred Elves Gacha,2022-10-04
"Luxurious Alchemia Pack"  now available!,2022-10-04
Red Core Selection Gacha,2022-10-04
Blue Core Selection Gacha,2022-10-04
Yellow Core Selection Gacha,2022-10-04
Green Core Selection Gacha,2022-10-04
Increased MATK!  "Blooming Dawn Gacha" Is Here!,2022-10-04
Good Fashion GachaⅧ,2022-10-03
Couple Drive FesL Starts!,2022-10-03
Increased ATK!"Aeronauts of the Sky Gacha" Is Here!,2022-10-03
Another Color Gacha,2022-10-02
SP Limit Break Pack Now Available!,2022-10-02
Accessory Ⅷ Selection Gacha,2022-10-02
Get Awakening materials on Step 4! Sp.Effect WeaponⅡ Gacha is here!,2022-10-01
Mounts with Sp Effects against Bosses! Couple Driving -Gain- Ⅱ Gacha,2022-10-01
"Burst Gacha" now available!,2022-10-01
2 "Area Boss Packs" Now Available!,2022-10-01
【UR30％!】Enhance Gear Performance! "Rune Gacha" Starts!,2022-10-01
October NM Gacha Tix,2022-10-01
【10/6 17:00(JST)Update】Get Bonus Items! Bonus Gem Campaign is here!,2022-10-01
